num_meta,num_user,genres,rating,url,game_title,metacritic_score,user_score,release_date
14,40,"Action Adventure, Open-World",M,http://www.metacritic.com/game/playstation-4/assassins-creed-origins-the-curse-of-the-pharaohs,Assassin's Creed Origins: The Curse of the Pharaohs (PS4),83,8.2,"Mar 13, 2018"
23,27,"Action Adventure, Open-World",T,http://www.metacritic.com/game/playstation-4/iconoclasts,Iconoclasts (PS4),83,6.2,"Jan 23, 2018"
9,10,"Action, Platformer, 2D",E,http://www.metacritic.com/game/switch/super-one-more-jump,Super One More Jump (Switch),82,7.3,"Jan 25, 2018"
32,48,"Sports, Team, Baseball, Sim",E,http://www.metacritic.com/game/playstation-4/mlb-the-show-18,MLB The Show 18 (PS4),82,7.1,"Mar 27, 2018"
37,60,"Racing, Arcade, Automobile",E10+,http://www.metacritic.com/game/playstation-4/burnout-paradise-remastered,Burnout Paradise Remastered (PS4),82,6.7,"Mar 16, 2018"
9,18,"Racing, Arcade, Other",E10+,http://www.metacritic.com/game/playstation-4/sprint-vector,Sprint Vector (PS4),82,7.4,"Feb 13, 2018"
8,9,"Adventure, General",M,http://www.metacritic.com/game/xbox-one/the-council---episode-1-the-mad-ones,The Council - Episode 1: The Mad Ones (XONE),82,8.2,"Mar 13, 2018"
44,36,"Action Adventure, Sandbox",E10+,http://www.metacritic.com/game/switch/dragon-quest-builders,Dragon Quest Builders (Switch),81,7.9,"Feb 9, 2018"
18,35,"Adventure, General",NA,http://www.metacritic.com/game/pc/chuchel,CHUCHEL (PC),81,7.6,"Mar 7, 2018"
18,12,"Adventure, General",E,http://www.metacritic.com/game/playstation-4/minit,Minit (PS4),81,7.2,"Apr 3, 2018"
75,612,"Action, Shooter, First-Person, Arcade",M,http://www.metacritic.com/game/playstation-4/far-cry-5,Far Cry 5 (PS4),81,7,"Mar 27, 2018"
22,89,"Action Adventure, General",M,http://www.metacritic.com/game/xbox-one/a-way-out,A Way Out (XONE),81,7.7,"Mar 23, 2018"
16,13,"Adventure, General",NA,http://www.metacritic.com/game/pc/minit,Minit (PC),81,8,"Apr 3, 2018"
8,6,"Action, Platformer, 2D",T,http://www.metacritic.com/game/playstation-4/bleed-2,Bleed 2 (PS4),81,6.5,"Feb 6, 2018"
45,131,"Action, Shooter, First-Person, Arcade",NA,http://www.metacritic.com/game/pc/warhammer-vermintide-2,Warhammer: Vermintide 2 (PC),81,7.6,"Mar 8, 2018"
42,42,"Adventure, Visual Novel",NA,http://www.metacritic.com/game/pc/the-red-strings-club,The Red Strings Club (PC),81,7.7,"Jan 22, 2018"
8,13,"Role-Playing, Western-Style",M,http://www.metacritic.com/game/pc/the-elder-scrolls-v-skyrim-vr,The Elder Scrolls V: Skyrim VR (PC),81,8.2,"Apr 2, 2018"
13,4,"Action, Shooter, First-Person, Arcade",T,http://www.metacritic.com/game/xbox-one/qube-2,Q.U.B.E. 2 (XONE),81,6.5,"Mar 13, 2018"
12,26,"Action Adventure, General",NA,http://www.metacritic.com/game/playstation-4/life-is-strange-before-the-storm---farewell,Life is Strange: Before the Storm - Farewell (PS4),80,7.8,"Mar 5, 2018"
11,20,"Action, Strategy, Turn-Based, General, Tactics",T,http://www.metacritic.com/game/xbox-one/pit-people,Pit People (XONE),80,7.4,"Mar 2, 2018"
45,82,"Strategy, Turn-Based, 4X",NA,http://www.metacritic.com/game/pc/sid-meiers-civilization-vi-rise-and-fall,Sid Meier's Civilization VI: Rise and Fall (PC),80,6.1,"Feb 8, 2018"
10,12,"Action, Shooter, First-Person, Arcade",E,http://www.metacritic.com/game/pc/qube-2,Q.U.B.E. 2 (PC),80,7.7,"Mar 13, 2018"
7,4,"Action, Platformer, 2D",T,http://www.metacritic.com/game/switch/bleed-2,Bleed 2 (Switch),80,7.3,"Mar 8, 2018"
15,16,"Action Adventure, Survival",M,http://www.metacritic.com/game/switch/outlast-2,Outlast 2 (Switch),80,7.6,"Mar 27, 2018"
33,16,"Action, Arcade",E,http://www.metacritic.com/game/switch/pac-man-championship-edition-2-plus,Pac-Man Championship Edition 2 Plus (Switch),80,7.6,"Feb 22, 2018"
10,177,"Action, Action Adventure, General",M,http://www.metacritic.com/game/pc/a-way-out,A Way Out (PC),80,7.6,"Mar 23, 2018"
13,14,"Action, General, Strategy, Turn-Based, Tactics",NA,http://www.metacritic.com/game/pc/pit-people,Pit People (PC),79,8.2,"Mar 2, 2018"
18,12,"Adventure, 3D, First-Person",M,http://www.metacritic.com/game/switch/layers-of-fear-legacy,Layers of Fear: Legacy (Switch),79,7.7,"Feb 21, 2018"
NA,NA,NA,NA,http://www.metacritic.com/game/pc/space-invaders-extreme,Space Invaders Extreme (PC),79,NA,"Feb 12, 2018"
11,8,"Adventure, General",M,http://www.metacritic.com/game/switch/detention,Detention (Switch),79,7.9,"Mar 1, 2018"
8,8,"Role-Playing, General",NA,http://www.metacritic.com/game/pc/dead-in-vinland,Dead In Vinland (PC),79,7.5,"Apr 12, 2018"
9,7,"Action, General",T,http://www.metacritic.com/game/switch/joe-devers-lone-wolf,Joe Dever's Lone Wolf (Switch),79,7.6,"Feb 16, 2018"
57,350,"Action Adventure, General",M,http://www.metacritic.com/game/playstation-4/a-way-out,A Way Out (PS4),79,8.3,"Mar 23, 2018"
27,21,"Racing, Arcade, Automobile",E10+,http://www.metacritic.com/game/xbox-one/burnout-paradise-remastered,Burnout Paradise Remastered (XONE),79,6.4,"Mar 16, 2018"
